ID,Semana,Persona,Area,Modulo,Tarea,Horas,HorasManual,Prioridad,Estado,Inicio,Fin,Dias,HorasReales,Desvio,IssueIID,GitLabURL,Evidencia,Actualizado,RolOriginal,Sprint,Tema,Submodulo
T-03,,,,Tests,Agregar tests de panel admin,8,8,MEDIA,COMPLETADO,,,,,,258,https://gitlab.com/underworf1/solmios/-/work_items/258,GitLab #258 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,admin
T-04,,,,Tests,Agregar tests de roles y permisos,8,8,ALTA,COMPLETADO,,,,,,245,https://gitlab.com/underworf1/solmios/-/work_items/245,GitLab #245 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,roles
T-05,,,,Tests,Agregar tests de dashboard endpoints,4,4,MEDIA,COMPLETADO,,,,,,264,https://gitlab.com/underworf1/solmios/-/work_items/264,GitLab #264 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,dashboard
T-06,,,,Tests,Agregar tests de autenticación (login/logout/refresh),12,12,ALTA,COMPLETADO,,,,,,237,https://gitlab.com/underworf1/solmios/-/work_items/237,GitLab #237 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,staff-auth
T-07,,,,Tests,Agregar tests CRUD paquetes,4,4,BAJA,COMPLETADO,,,,,,275,https://gitlab.com/underworf1/solmios/-/work_items/275,GitLab #275 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,paquetes
T-08,,,,Tests,Agregar tests gastos,4,4,MEDIA,COMPLETADO,,,,,,267,https://gitlab.com/underworf1/solmios/-/work_items/267,GitLab #267 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,gastos
T-09,,,,Tests,Agregar tests opiniones,4,4,BAJA,COMPLETADO,,,,,,277,https://gitlab.com/underworf1/solmios/-/work_items/277,GitLab #277 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,opiniones
T-10,,,,Tests,Agregar tests activos fijos,4,4,BAJA,COMPLETADO,,,,,,278,https://gitlab.com/underworf1/solmios/-/work_items/278,GitLab #278 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,activos
T-11,,,,Tests,Agregar tests reembolsos,4,4,MEDIA,COMPLETADO,,,,,,269,https://gitlab.com/underworf1/solmios/-/work_items/269,GitLab #269 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,reembolsos
T-12,,,,Tests,Agregar tests amenities,4,4,BAJA,COMPLETADO,,,,,,280,https://gitlab.com/underworf1/solmios/-/work_items/280,GitLab #280 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,amenities
T-13,,,,Tests,Agregar tests reclutamiento,4,4,BAJA,COMPLETADO,,,,,,281,https://gitlab.com/underworf1/solmios/-/work_items/281,GitLab #281 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,reclutamiento
T-14,,,,Tests,Agregar tests feedback,4,4,BAJA,COMPLETADO,,,,,,283,https://gitlab.com/underworf1/solmios/-/work_items/283,GitLab #283 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,feedback
T-15,,,,Tests,Agregar tests anuncios,4,4,BAJA,COMPLETADO,,,,,,284,https://gitlab.com/underworf1/solmios/-/work_items/284,GitLab #284 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,anuncios
T-16,,,,Tests,Agregar tests API Keys,4,4,MEDIA,COMPLETADO,,,,,,272,https://gitlab.com/underworf1/solmios/-/work_items/272,GitLab #272 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,apikeys
T-17,,,,Tests,"Agregar tests pricing (reglas de precio, temporadas)",12,12,ALTA,COMPLETADO,,,,,,239,https://gitlab.com/underworf1/solmios/-/work_items/239,GitLab #239 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,pricing
T-18,,,,Tests,Agregar tests tickets de soporte,4,4,BAJA,COMPLETADO,,,,,,286,https://gitlab.com/underworf1/solmios/-/work_items/286,GitLab #286 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,tickets
T-19,,,,Tests,Agregar tests grupos,4,4,BAJA,COMPLETADO,,,,,,288,https://gitlab.com/underworf1/solmios/-/work_items/288,GitLab #288 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,grupos
T-20,,,,Tests,Agregar tests dispositivos,4,4,BAJA,COMPLETADO,,,,,,290,https://gitlab.com/underworf1/solmios/-/work_items/290,GitLab #290 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,dispositivos
T-21,,,,Tests,Agregar tests booking engine (widget + webhook),12,12,ALTA,COMPLETADO,,,,,,242,https://gitlab.com/underworf1/solmios/-/work_items/242,GitLab #242 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,bookingengine
T-22,,,,Tests,Agregar tests mensajería,8,8,MEDIA,COMPLETADO,,,,,,261,https://gitlab.com/underworf1/solmios/-/work_items/261,GitLab #261 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,messages
T-23,,,,Tests,Agregar tests AI recepcionista,12,12,BAJA,COMPLETADO,,,,,,312,https://gitlab.com/underworf1/solmios/-/work_items/312,GitLab #312 cerrado (workflow:implementacion),,QA,3,TEST COVERAGE,ai-recepcionista
TC-01,,,,Tests,Agregar tests para conectores reservas-* (6 conectores),16,16,ALTA,COMPLETADO,,,,,,232,https://gitlab.com/underworf1/solmios/-/issues/232,30/30 conectores con test; bun test 1071 pass (connectors/tests/reservas-connectors.test.ts),2026-07-14,FS,3,TEST COVERAGE,Conectores
TC-02,,,,Tests,"Agregar tests conectores financieros (facturas-*, folios-*, payments-*)",16,16,ALTA,COMPLETADO,,,,,,236,https://gitlab.com/underworf1/solmios/-/issues/236,connectors/tests/financieros-connectors.test.ts — facturas/folios/payments cubiertos,2026-07-14,FS,4,TEST COVERAGE,Conectores
TC-03,,,,Tests,"Agregar tests conectores operativos (housekeeping-*, mantenimiento-*)",12,12,MEDIA,COMPLETADO,,,,,,252,https://gitlab.com/underworf1/solmios/-/issues/252,connectors/tests/operativos-connectors.test.ts — 4/4 conectores,2026-07-14,FS,4,TEST COVERAGE,Conectores
TC-04,,,,Tests,Agregar tests conectores RRHH (attendance-* payroll-*),8,8,MEDIA,COMPLETADO,,,,,,263,https://gitlab.com/underworf1/solmios/-/issues/263,connectors/tests/rrhh-connectors.test.ts + attendance-payroll.test.ts — 3/3,2026-07-14,FS,4,TEST COVERAGE,Conectores
TF-01,,,,Tests,Agregar tests unitarios a stores Pinia,16,16,MEDIA,PENDIENTE,,,,,,246,https://gitlab.com/underworf1/solmios/-/work_items/246,,,QA,4,TEST COVERAGE,Frontend
TF-02,,,,Tests,"Agregar tests a servicios frontend (facturas, reservas, auth)",16,16,MEDIA,PENDIENTE,,,,,,249,https://gitlab.com/underworf1/solmios/-/work_items/249,,,QA,4,TEST COVERAGE,Frontend
DT-01,,,,Deuda,Auditar todos los modelos ORM vs campos usados en services/DTOs (anti-patrón descarte silencioso),16,16,CRITICA,COMPLETADO,,,,,,218,https://gitlab.com/underworf1/solmios/-/work_items/218,GitLab #218 cerrado (workflow:implementacion),,ARQ,5,DEUDA TÉCNICA,ORM
DT-02,,,,Deuda,Fixear campos faltantes en modelos ORM detectados en auditoría,16,16,CRITICA,COMPLETADO,,,,,,219,https://gitlab.com/underworf1/solmios/-/work_items/219,GitLab #219 cerrado (workflow:implementacion),,BE1,5,DEUDA TÉCNICA,ORM
DT-03,,,,Deuda,Cablear fiscal.ts (buildNcf) para que NCF solo se emita si electronic_invoicing.enabled=true,12,12,ALTA,COMPLETADO,,,,,,221,https://gitlab.com/underworf1/solmios/-/issues/221,facturas/usecases/fiscal.ts:36 nextNcf corta si !cfg.enabled; cero literales NCF- en src/,2026-07-14,BE1,5,DEUDA TÉCNICA,Fiscal
DT-04,,,,Deuda,Agregar guard condicional en borrado de facturas: si NCF emitido o pagada -> solo nota de crédito,8,8,ALTA,COMPLETADO,,,,,,224,https://gitlab.com/underworf1/solmios/-/work_items/224,facturas/usecases/deletable.ts:34 cableado en service.ts:140 — ConflictError 409 si pagada/NCF/anulada,,BE2,5,DEUDA TÉCNICA,Facturas
DT-05,,,,Deuda,Verificar que stats.ts filtre type=invoice (no duplicar ingresos con type=payment),4,4,ALTA,COMPLETADO,,,,,,227,https://gitlab.com/underworf1/solmios/-/work_items/227,"facturas/usecases/stats.ts:24 — findMany filtra type:'invoice', no duplica ingresos",,BE2,5,DEUDA TÉCNICA,Reports
DT-06,,,,Deuda,Reactivar Service Worker (PC-4) con network-first + bypass /api/*,12,12,ALTA,PENDIENTE,,,,,,222,https://gitlab.com/underworf1/solmios/-/work_items/222,,,FE1,6,DEUDA TÉCNICA,Frontend
DT-07,,,,Deuda,Fixear búsqueda de facturas (?search=) para filtrar en backend (hoy filtra página actual),8,8,ALTA,EN_PROGRESO,,,,,,225,https://gitlab.com/underworf1/solmios/-/issues/225,"PARCIAL: ya no filtra solo la pagina, pero trae todas las filas del hotel y filtra en JS (list-invoices.ts:60). Falta llevarlo al WHERE del repo.",2026-07-14,BE1,6,DEUDA TÉCNICA,Frontend
DT-08,,,,Deuda,Eliminar duplicación de cálculo de impuesto en billing/index.vue (hoy frontend y backend calculan por separado),8,8,MEDIA,COMPLETADO,,,,,,230,https://gitlab.com/underworf1/solmios/-/work_items/230,"GET /api/facturas/tax-rate (usecases/tax-rate.ts); front consume, no recalcula. Verificado: preview 28% == emision 28%",2026-07-14,FE1,6,DEUDA TÉCNICA,Frontend
DT-09,,,,Deuda,Reemplazar window.prompt en emailInvoice() con modal con validación de email,4,4,MEDIA,COMPLETADO,,,,,,234,https://gitlab.com/underworf1/solmios/-/work_items/234,billing/index.vue — modal con input type=email + validacion; window.prompt eliminado,2026-07-14,FE2,6,DEUDA TÉCNICA,Frontend
DT-10,,,,Deuda,Fixear settle-folio-at-checkout: cuando amount<=0 cerrar folio sin invoice,4,4,MEDIA,COMPLETADO,,,,,,231,https://gitlab.com/underworf1/solmios/-/work_items/231,shared/usecases/settle-folio-at-checkout.ts:53 — balance<=0 cierra folio sin invoice,2026-07-14,BE2,6,DEUDA TÉCNICA,Settlement
DT-11,,,,Deuda,Auditar claves de caché en facturas y folios (cache.ts: version token vs clave fija),8,8,MEDIA,COMPLETADO,,,,,,228,https://gitlab.com/underworf1/solmios/-/work_items/228,"facturas/usecases/cache.ts:32 + folios/usecases/cache.ts:30 — claves con version token, invalidacion por bump",,BE1,6,DEUDA TÉCNICA,Cache
CH-01,,,,Canales,Completar feed de reservas Channex (30-min window ack),16,16,ALTA,COMPLETADO,,,,,,233,https://gitlab.com/underworf1/solmios/-/work_items/233,GitLab #233 cerrado (workflow:implementacion),,BE1,7,INTEGRACIONES,Channex
CH-02,,,,Canales,Manejar test bookings desde Channex dashboard,8,8,ALTA,PENDIENTE,,,,,,241,https://gitlab.com/underworf1/solmios/-/work_items/241,,,BE1,7,INTEGRACIONES,Channex
CH-03,,,,Canales,"Resolver rate mapping (int codes, per-person rates array)",12,12,ALTA,COMPLETADO,,,,,,238,https://gitlab.com/underworf1/solmios/-/work_items/238,GitLab #238 cerrado (workflow:implementacion),,BE1,7,INTEGRACIONES,Channex
CH-04,,,,Canales,Proceso de certificación Channex (PMS certification),24,24,ALTA,PENDIENTE,,,,,,235,https://gitlab.com/underworf1/solmios/-/work_items/235,,,FS,7,INTEGRACIONES,Channex
CH-05,,,,Canales,Configurar health-check doctor.ts para Channex (existe stub),4,4,MEDIA,PENDIENTE,,,,,,250,https://gitlab.com/underworf1/solmios/-/work_items/250,,,BE2,7,INTEGRACIONES,Channex
ST-01,,,,Pagos,"Agregar manejo de errores de webhook Stripe (timeouts, retry)",8,8,ALTA,COMPLETADO,,,,,,243,https://gitlab.com/underworf1/solmios/-/work_items/243,GitLab #243 cerrado (workflow:implementacion),,BE1,8,INTEGRACIONES,Stripe
ST-02,,,,Pagos,Agregar logs de auditoría para transacciones Stripe,4,4,MEDIA,PENDIENTE,,,,,,253,https://gitlab.com/underworf1/solmios/-/work_items/253,,,BE2,8,INTEGRACIONES,Stripe
ST-03,,,,Pagos,Verificar checkout sessions funcionando (PC-3.1.2 cumple),8,8,ALTA,COMPLETADO,,,,,,244,https://gitlab.com/underworf1/solmios/-/work_items/244,GitLab #244 cerrado (workflow:implementacion),,FS,8,INTEGRACIONES,Stripe
TT-01,,,,TTLock,"Agregar edge cases: código duplicado, lock offline, reintentos,TTLock",12,12,ALTA,PENDIENTE,,,,,,240,https://gitlab.com/underworf1/solmios/-/work_items/240,,,BE1,8,INTEGRACIONES,Cerraduras
TT-02,,,,TTLock,Frontend: mostrar estado de cada cerradura en tiempo real,12,12,MEDIA,PENDIENTE,,,,,,248,https://gitlab.com/underworf1/solmios/-/work_items/248,,,FE1,8,INTEGRACIONES,Cerraduras
EM-01,,,,Email,"Refinar templates de email (check-in, factura, recordatorio)",12,12,MEDIA,PENDIENTE,,,,,,247,https://gitlab.com/underworf1/solmios/-/work_items/247,,,FE2,8,INTEGRACIONES,Notificaciones
EM-02,,,,Email,Agregar cola de reintentos para emails fallidos,8,8,MEDIA,PENDIENTE,,,,,,251,https://gitlab.com/underworf1/solmios/-/work_items/251,,,BE1,8,INTEGRACIONES,Notificaciones
UI-01,,,,Frontend,Agregar estados de carga (skeleton/spinner) a TODAS las páginas,16,16,MEDIA,PENDIENTE,,,,,,262,https://gitlab.com/underworf1/solmios/-/work_items/262,,,FE1,9,FRONTEND POLISH,Estados
UI-02,,,,Frontend,Agregar estados vacíos (empty state con CTA) a listados,12,12,MEDIA,PENDIENTE,,,,,,265,https://gitlab.com/underworf1/solmios/-/work_items/265,,,FE1,9,FRONTEND POLISH,Estados
UI-03,,,,Frontend,Agregar manejo de errores en llamadas API por página,12,12,ALTA,PENDIENTE,,,,,,255,https://gitlab.com/underworf1/solmios/-/work_items/255,,,FE1,9,FRONTEND POLISH,Estados
UI-04,,,,Frontend,Estandarizar validación de formularios en todas las páginas,16,16,ALTA,PENDIENTE,,,,,,256,https://gitlab.com/underworf1/solmios/-/work_items/256,,,FE2,9,FRONTEND POLISH,Estados
UI-05,,,,Frontend,"Agregar confirmación antes de acciones destructivas (delete, cancel)",8,8,ALTA,PENDIENTE,,,,,,259,https://gitlab.com/underworf1/solmios/-/work_items/259,,,FE2,9,FRONTEND POLISH,Estados
UI-06,,,,Frontend,Centralizar notificaciones toast en todas las operaciones CRUD,8,8,MEDIA,PENDIENTE,,,,,,266,https://gitlab.com/underworf1/solmios/-/work_items/266,,,FE2,9,FRONTEND POLISH,Toast
UI-07,,,,Frontend,Auditar y corregir responsive en móvil (375px) para todas las páginas,20,20,MEDIA,PENDIENTE,,,,,,260,https://gitlab.com/underworf1/solmios/-/work_items/260,,,FE1,10,FRONTEND POLISH,Responsive
UI-08,,,,Frontend,Corregir tablas con overflow en mobile (scroll horizontal),8,8,MEDIA,PENDIENTE,,,,,,268,https://gitlab.com/underworf1/solmios/-/work_items/268,,,FE1,10,FRONTEND POLISH,Responsive
UI-09,,,,Frontend,Estandarizar dark mode en todas las páginas y componentes,20,20,BAJA,PENDIENTE,,,,,,270,https://gitlab.com/underworf1/solmios/-/work_items/270,,,FE2,10,FRONTEND POLISH,Dark Mode
UI-10,,,,Frontend,Verificar contraste y accesibilidad en dark mode,8,8,BAJA,PENDIENTE,,,,,,271,https://gitlab.com/underworf1/solmios/-/work_items/271,,,FE2,10,FRONTEND POLISH,Dark Mode
UI-11,,,,Frontend,Agregar breadcrumbs a páginas con profundidad > 1,8,8,BAJA,PENDIENTE,,,,,,273,https://gitlab.com/underworf1/solmios/-/work_items/273,,,FE2,10,FRONTEND POLISH,Navegación
PF-01,,,,Performance,"Auditar N+1 queries en módulos principales (reservas, facturas, folios)",12,12,ALTA,PENDIENTE,,,,,,274,https://gitlab.com/underworf1/solmios/-/work_items/274,,,ARQ,11,PERFORMANCE,Queries
PF-02,,,,Performance,"Optimizar consultas detectadas (eager loading, índices)",16,16,ALTA,PENDIENTE,,,,,,276,https://gitlab.com/underworf1/solmios/-/work_items/276,,,DBA,11,PERFORMANCE,Queries
PF-03,,,,Performance,Implementar Redis o cache en memoria para consultas frecuentes,16,16,MEDIA,PENDIENTE,,,,,,279,https://gitlab.com/underworf1/solmios/-/work_items/279,,,BE1,11,PERFORMANCE,Cache
PF-04,,,,Performance,Implementar lazy loading de rutas Vue,8,8,BAJA,PENDIENTE,,,,,,287,https://gitlab.com/underworf1/solmios/-/work_items/287,,,FE1,11,PERFORMANCE,Frontend
PF-05,,,,Performance,"Optimizar tamaño de bundle (code splitting, tree shaking)",12,12,BAJA,PENDIENTE,,,,,,282,https://gitlab.com/underworf1/solmios/-/work_items/282,,,FE2,11,PERFORMANCE,Frontend
SC-01,,,,Seguridad,"Auditar rate limiting por endpoint (hoy rate-limit.ts existe, verificar config)",8,8,ALTA,COMPLETADO,,,,,,217,https://gitlab.com/underworf1/solmios/-/work_items/217,rate-limit.ts auditado: login usa getClientIp (XFF) — funciona; global roto detras de nginx (V8),,BE1,12,SEGURIDAD,Auth
SC-02,,,,Seguridad,Agregar rate limiting a endpoints de login y creación de usuarios,8,8,ALTA,COMPLETADO,,,,,,220,https://gitlab.com/underworf1/solmios/-/work_items/220,"usuarios/index.ts:45 login rate-limited por getClientIp; DEBILIDADES: XFF spoofeable (V7), rate limiter global comparte bucket 127.0.0.1 (V8)",,BE1,12,SEGURIDAD,Auth
SC-03,,,,Seguridad,Testear todos los permission guards (que cada endpoint exija el permiso correcto),16,16,ALTA,COMPLETADO,,,,,,212,https://gitlab.com/underworf1/solmios/-/work_items/212,infrastructure/auth/tests/route-permissions.test.ts — 53 casos + payroll-permissions.test.ts — 58 aserciones de guard,,QA,12,SEGURIDAD,Permisos
SC-04,,,,Seguridad,Verificar que admin endpoints tengan requireUserType('admin'),8,8,ALTA,EN_PROGRESO,,,,,,223,https://gitlab.com/underworf1/solmios/-/work_items/223,"PARCIAL: las 15 rutas /api/admin/* si tienen requireUserType. Faltan staff-auth (pin-set, pin-reset/:userId) y pushtokens.",2026-07-14,QA,12,SEGURIDAD,Permisos
SC-05,,,,Seguridad,"Agregar auditlog a operaciones sensibles (borrados, cambios de rol, pagos)",12,12,MEDIA,COMPLETADO,,,,,,229,https://gitlab.com/underworf1/solmios/-/issues/229,"Auditoria en las 3 categorias. PAGOS: payments (charge/refund/webhook/deposits), cash (turnos), payment-requests (manual vs Stripe), pricing (tarifas con valor anterior), payroll. ROLES: user.role_change con rol viejo->nuevo. BORRADOS: 0 modulos con delete() sin auditar (35 connectors). Verificado e2e contra audit_log. Commits c543f0c + 8f55ec5.",2026-07-14,BE2,12,SEGURIDAD,Auditoría
SC-06,,,,Seguridad,"Revisar OWASP Top 10: XSS, CSRF, SQLi, IDOR en módulos críticos",8,8,ALTA,EN_PROGRESO,,,,,,226,https://gitlab.com/underworf1/solmios/-/issues/226,"PARCIAL: la openspec cubre IDOR y rate-limit. Sin revision de XSS, CSRF ni SQLi.",2026-07-14,ARQ,12,SEGURIDAD,OWASP
QA-01,,,,QA,Test de flujo completo: crear reserva -> check-in -> cargos folio -> check-out -> factura -> pago,16,16,CRITICA,PENDIENTE,,,,,,293,https://gitlab.com/underworf1/solmios/-/work_items/293,,,QA,13,QA INTEGRACIÓN + E2E,Integración
QA-02,,,,QA,Test de flujo canales: crear reserva -> push a Channex -> recibir booking desde OTA,16,16,ALTA,PENDIENTE,,,,,,296,https://gitlab.com/underworf1/solmios/-/work_items/296,,,QA,13,QA INTEGRACIÓN + E2E,Integración
QA-03,,,,QA,Test de flujo TTLock: check-in -> genera código -> check-out -> revoca código,12,12,ALTA,PENDIENTE,,,,,,302,https://gitlab.com/underworf1/solmios/-/work_items/302,,,QA,13,QA INTEGRACIÓN + E2E,Integración
QA-04,,,,QA,Test de flujo financiero: pago Stripe -> webhook -> actualiza factura -> caja,16,16,ALTA,PENDIENTE,,,,,,299,https://gitlab.com/underworf1/solmios/-/work_items/299,,,QA,13,QA INTEGRACIÓN + E2E,Integración
QA-05,,,,QA,"Test de night audit: ejecución nocturna, mark-no-shows, post room charges",8,8,MEDIA,PENDIENTE,,,,,,305,https://gitlab.com/underworf1/solmios/-/work_items/305,,,QA,13,QA INTEGRACIÓN + E2E,Integración
QA-06,,,,QA,Prueba de carga con 100 reservas concurrentes,8,8,ALTA,PENDIENTE,,,,,,309,https://gitlab.com/underworf1/solmios/-/work_items/309,,,QA,14,QA CARGA + REGRESIÓN,Carga
QA-07,,,,QA,Prueba de carga con 1000 huespedes en base,8,8,MEDIA,PENDIENTE,,,,,,311,https://gitlab.com/underworf1/solmios/-/work_items/311,,,QA,14,QA CARGA + REGRESIÓN,Carga
QA-08,,,,QA,Verificar tiempos de respuesta < 200ms en endpoints críticos,8,8,ALTA,PENDIENTE,,,,,,310,https://gitlab.com/underworf1/solmios/-/work_items/310,,,QA,14,QA CARGA + REGRESIÓN,Carga
QA-09,,,,QA,Ejecutar batería completa de tests (101 existentes + nuevos),16,16,CRITICA,PENDIENTE,,,,,,306,https://gitlab.com/underworf1/solmios/-/work_items/306,,,QA,14,QA CARGA + REGRESIÓN,Regresión
QA-10,,,,QA,Verificar arckode analyze 0 violaciones (GATE BLOQUEANTE),4,4,CRITICA,PENDIENTE,,,,,,307,https://gitlab.com/underworf1/solmios/-/work_items/307,,,QA,14,QA CARGA + REGRESIÓN,Regresión
QA-11,,,,QA,Verificar vue-tsc --noEmit + bun run build frontend,4,4,CRITICA,PENDIENTE,,,,,,308,https://gitlab.com/underworf1/solmios/-/work_items/308,,,QA,14,QA CARGA + REGRESIÓN,Regresión
DOC-01,,,,Documentación,Generar documentación de endpoints REST (OpenAPI/Swagger),16,16,MEDIA,PENDIENTE,,,,,,300,https://gitlab.com/underworf1/solmios/-/work_items/300,,,BE1,15,DOCUMENTACIÓN + DEPLOY,API
DOC-02,,,,Documentación,Actualizar ARCHITECTURE.md con estado real,8,8,MEDIA,PENDIENTE,,,,,,301,https://gitlab.com/underworf1/solmios/-/work_items/301,,,ARQ,15,DOCUMENTACIÓN + DEPLOY,Arquitectura
DOC-03,,,,Documentación,"Crear runbook de deploy (comandos, SSH, systemd, nginx)",8,8,ALTA,PENDIENTE,,,,,,297,https://gitlab.com/underworf1/solmios/-/work_items/297,,,DEV,15,DOCUMENTACIÓN + DEPLOY,Deploy
DOC-04,,,,Documentación,Documentar backup/restore de BD (SQLite dev + PG prod),8,8,ALTA,PENDIENTE,,,,,,298,https://gitlab.com/underworf1/solmios/-/work_items/298,,,DBA,15,DOCUMENTACIÓN + DEPLOY,Deploy
DEP-01,,,,Deploy,Deploy a producción hotel.zx89.site (git pull + bun install + restart),8,8,CRITICA,PENDIENTE,,,,,,285,https://gitlab.com/underworf1/solmios/-/work_items/285,,,DEV,16,DOCUMENTACIÓN + DEPLOY,Producción
DEP-02,,,,Deploy,Verificar login con usuarios demo en producción,4,4,CRITICA,PENDIENTE,,,,,,289,https://gitlab.com/underworf1/solmios/-/work_items/289,,,QA,16,DOCUMENTACIÓN + DEPLOY,Producción
DEP-03,,,,Deploy,Verificar Stripe webhooks en producción,4,4,CRITICA,PENDIENTE,,,,,,291,https://gitlab.com/underworf1/solmios/-/work_items/291,,,QA,16,DOCUMENTACIÓN + DEPLOY,Producción
DEP-04,,,,Deploy,Verificar Channex en producción (certificación completa),8,8,ALTA,PENDIENTE,,,,,,294,https://gitlab.com/underworf1/solmios/-/work_items/294,,,QA,16,DOCUMENTACIÓN + DEPLOY,Producción
DEP-05,,,,Deploy,"Configurar monitoreo (logs, alertas, health-checks)",12,12,ALTA,EN_PROGRESO,,,,,,295,https://gitlab.com/underworf1/solmios/-/issues/295,"PARCIAL: /api/health + ops/healthcheck.sh existen (4caacc2). Falta instalar el cron, ALERT_WEBHOOK y logging a archivo.",2026-07-14,DEV,16,DOCUMENTACIÓN + DEPLOY,Producción
DEP-06,,,,Deploy,Configurar backups automáticos BD (cron diario),4,4,CRITICA,EN_PROGRESO,,,,,,292,https://gitlab.com/underworf1/solmios/-/issues/292,PARCIAL: ops/backup-db.sh existe (4caacc2). Falta instalar el cron diario en el server y probar el restore.,2026-07-14,DBA,16,DOCUMENTACIÓN + DEPLOY,Producción
INF-01,,,QA,Tests,Instalar infraestructura de test frontend (vitest + @vue/test-utils + config + CI),10,16,ALTA,PENDIENTE,,,,,,315,https://gitlab.com/underworf1/solmios/-/work_items/315,,,,,COBERTURA FRONTEND,Frontend
INF-02,,,QA,Tests,Instalar infraestructura E2E (Playwright + config + fixtures + seed de datos),12,20,ALTA,PENDIENTE,,,,,,317,https://gitlab.com/underworf1/solmios/-/work_items/317,,,,,COBERTURA E2E,E2E
