ID,Módulo,Submódulo,Tarea,Responsable,Horas,Prioridad,Estado,Sprint,Semana,GitLab URL
DT-07,Deuda,Frontend,Fixear búsqueda de facturas (?search=) para filtrar en backend (hoy filtra página actual),BE1,8,ALTA,PENDIENTE,6,Semana 6,
DT-08,Deuda,Frontend,Eliminar duplicación de cálculo de impuesto en billing/index.vue (hoy frontend y backend calculan por separado),FE1,8,MEDIA,PENDIENTE,6,Semana 6,
DT-09,Deuda,Frontend,Reemplazar window.prompt en emailInvoice() con modal con validación de email,FE2,4,MEDIA,PENDIENTE,6,Semana 6,
DT-10,Deuda,Settlement,Fixear settle-folio-at-checkout: cuando amount<=0 cerrar folio sin invoice,BE2,4,MEDIA,PENDIENTE,6,Semana 6,
DT-11,Deuda,Cache,Auditar claves de caché en facturas y folios (cache.ts: version token vs clave fija),BE1,8,MEDIA,PENDIENTE,6,Semana 6,
,,,,,,,,,,
=== SPRINT 7 (Semana 7): INTEGRACIONES - Channex Certification ===,,,,,,,,,
CH-01,Canales,Channex,Completar feed de reservas Channex (30-min window ack),BE1,16,ALTA,PENDIENTE,7,Semana 7,
CH-02,Canales,Channex,Manejar test bookings desde Channex dashboard,BE1,8,ALTA,PENDIENTE,7,Semana 7,
CH-03,Canales,Channex,Resolver rate mapping (int codes, per-person rates array),BE1,12,ALTA,PENDIENTE,7,Semana 7,
CH-04,Canales,Channex,Proceso de certificación Channex (PMS certification),FS,24,ALTA,PENDIENTE,7,Semana 7,
CH-05,Canales,Channex,Configurar health-check doctor.ts para Channex (existe stub),BE2,4,MEDIA,PENDIENTE,7,Semana 7,
,,,,,,,,,,
=== SPRINT 8 (Semana 8): INTEGRACIONES - Stripe + TTLock + Email ===,,,,,,,,,
ST-01,Pagos,Stripe,Agregar manejo de errores de webhook Stripe (timeouts, retry),BE1,8,ALTA,PENDIENTE,8,Semana 8,
ST-02,Pagos,Stripe,Agregar logs de auditoría para transacciones Stripe,BE2,4,MEDIA,PENDIENTE,8,Semana 8,
ST-03,Pagos,Stripe,Verificar checkout sessions funcionando (PC-3.1.2 cumple),FS,8,ALTA,PENDIENTE,8,Semana 8,
TT-01,TTLock,Cerraduras,Agregar edge cases: código duplicado, lock offline, reintentos,TTLock,BE1,12,ALTA,PENDIENTE,8,Semana 8,
TT-02,TTLock,Cerraduras,Frontend: mostrar estado de cada cerradura en tiempo real,FE1,12,MEDIA,PENDIENTE,8,Semana 8,
EM-01,Email,Notificaciones,Refinar templates de email (check-in, factura, recordatorio),FE2,12,MEDIA,PENDIENTE,8,Semana 8,
EM-02,Email,Notificaciones,Agregar cola de reintentos para emails fallidos,BE1,8,MEDIA,PENDIENTE,8,Semana 8,
,,,,,,,,,,
=== SPRINT 9 (Semana 9): FRONTEND POLISH - Estados UI ===,,,,,,,,,
UI-01,Frontend,Estados,Agregar estados de carga (skeleton/spinner) a TODAS las páginas,FE1,16,MEDIA,PENDIENTE,9,Semana 9,
UI-02,Frontend,Estados,Agregar estados vacíos (empty state con CTA) a listados,FE1,12,MEDIA,PENDIENTE,9,Semana 9,
UI-03,Frontend,Estados,Agregar manejo de errores en llamadas API por página,FE1,12,ALTA,PENDIENTE,9,Semana 9,
UI-04,Frontend,Estados,Estandarizar validación de formularios en todas las páginas,FE2,16,ALTA,PENDIENTE,9,Semana 9,
UI-05,Frontend,Estados,Agregar confirmación antes de acciones destructivas (delete, cancel),FE2,8,ALTA,PENDIENTE,9,Semana 9,
UI-06,Frontend,Toast,Centralizar notificaciones toast en todas las operaciones CRUD,FE2,8,MEDIA,PENDIENTE,9,Semana 9,
,,,,,,,,,,
=== SPRINT 10 (Semana 10): FRONTEND POLISH - Responsive + Dark Mode ===,,,,,,,,,
UI-07,Frontend,Responsive,Auditar y corregir responsive en móvil (375px) para todas las páginas,FE1,20,MEDIA,PENDIENTE,10,Semana 10,
UI-08,Frontend,Responsive,Corregir tablas con overflow en mobile (scroll horizontal),FE1,8,MEDIA,PENDIENTE,10,Semana 10,
UI-09,Frontend,Dark Mode,Estandarizar dark mode en todas las páginas y componentes,FE2,20,BAJA,PENDIENTE,10,Semana 10,
UI-10,Frontend,Dark Mode,Verificar contraste y accesibilidad en dark mode,FE2,8,BAJA,PENDIENTE,10,Semana 10,
UI-11,Frontend,Navegación,Agregar breadcrumbs a páginas con profundidad > 1,FE2,8,BAJA,PENDIENTE,10,Semana 10,
,,,,,,,,,,
=== SPRINT 11 (Semana 11): PERFORMANCE ===,,,,,,,,,
PF-01,Performance,Queries,Auditar N+1 queries en módulos principales (reservas, facturas, folios),ARQ,12,ALTA,PENDIENTE,11,Semana 11,
PF-02,Performance,Queries,Optimizar consultas detectadas (eager loading, índices),DBA,16,ALTA,PENDIENTE,11,Semana 11,
PF-03,Performance,Cache,Implementar Redis o cache en memoria para consultas frecuentes,BE1,16,MEDIA,PENDIENTE,11,Semana 11,
PF-04,Performance,Frontend,Implementar lazy loading de rutas Vue,FE1,8,BAJA,PENDIENTE,11,Semana 11,
PF-05,Performance,Frontend,Optimizar tamaño de bundle (code splitting, tree shaking),FE2,12,BAJA,PENDIENTE,11,Semana 11,
,,,,,,,,,,
=== SPRINT 12 (Semana 12): SEGURIDAD ===,,,,,,,,,
SC-01,Seguridad,Auth,Auditar rate limiting por endpoint (hoy rate-limit.ts existe, verificar config),BE1,8,ALTA,PENDIENTE,12,Semana 12,
SC-02,Seguridad,Auth,Agregar rate limiting a endpoints de login y creación de usuarios,BE1,8,ALTA,PENDIENTE,12,Semana 12,
SC-03,Seguridad,Permisos,Testear todos los permission guards (que cada endpoint exija el permiso correcto),QA,16,ALTA,PENDIENTE,12,Semana 12,
SC-04,Seguridad,Permisos,Verificar que admin endpoints tengan requireUserType('admin'),QA,8,ALTA,PENDIENTE,12,Semana 12,
SC-05,Seguridad,Auditoría,Agregar auditlog a operaciones sensibles (borrados, cambios de rol, pagos),BE2,12,MEDIA,PENDIENTE,12,Semana 12,
SC-06,Seguridad,OWASP,Revisar OWASP Top 10: XSS, CSRF, SQLi, IDOR en módulos críticos,ARQ,8,ALTA,PENDIENTE,12,Semana 12,
,,,,,,,,,,
=== SPRINT 13 (Semana 13): QA INTEGRACIÓN + E2E ===,,,,,,,,,
QA-01,QA,Integración,Test de flujo completo: crear reserva -> check-in -> cargos folio -> check-out -> factura -> pago,QA,16,CRITICA,PENDIENTE,13,Semana 13,
QA-02,QA,Integración,Test de flujo canales: crear reserva -> push a Channex -> recibir booking desde OTA,QA,16,ALTA,PENDIENTE,13,Semana 13,
QA-03,QA,Integración,Test de flujo TTLock: check-in -> genera código -> check-out -> revoca código,QA,12,ALTA,PENDIENTE,13,Semana 13,
QA-04,QA,Integración,Test de flujo financiero: pago Stripe -> webhook -> actualiza factura -> caja,QA,16,ALTA,PENDIENTE,13,Semana 13,
QA-05,QA,Integración,Test de night audit: ejecución nocturna, mark-no-shows, post room charges,QA,8,MEDIA,PENDIENTE,13,Semana 13,
,,,,,,,,,,
=== SPRINT 14 (Semana 14): QA CARGA + REGRESIÓN ===,,,,,,,,,
QA-06,QA,Carga,Prueba de carga con 100 reservas concurrentes,QA,8,ALTA,PENDIENTE,14,Semana 14,
QA-07,QA,Carga,Prueba de carga con 1000 huespedes en base,QA,8,MEDIA,PENDIENTE,14,Semana 14,
QA-08,QA,Carga,Verificar tiempos de respuesta < 200ms en endpoints críticos,QA,8,ALTA,PENDIENTE,14,Semana 14,
QA-09,QA,Regresión,Ejecutar batería completa de tests (101 existentes + nuevos),QA,16,CRITICA,PENDIENTE,14,Semana 14,
QA-10,QA,Regresión,Verificar arckode analyze 0 violaciones (GATE BLOQUEANTE),QA,4,CRITICA,PENDIENTE,14,Semana 14,
QA-11,QA,Regresión,Verificar vue-tsc --noEmit + bun run build frontend,QA,4,CRITICA,PENDIENTE,14,Semana 14,
,,,,,,,,,,
=== SPRINT 15 (Semana 15-16): DOCUMENTACIÓN + DEPLOY ===,,,,,,,,,
DOC-01,Documentación,API,Generar documentación de endpoints REST (OpenAPI/Swagger),BE1,16,MEDIA,PENDIENTE,15,Semana 15,
DOC-02,Documentación,Arquitectura,Actualizar ARCHITECTURE.md con estado real,ARQ,8,MEDIA,PENDIENTE,15,Semana 15,
DOC-03,Documentación,Deploy,Crear runbook de deploy (comandos, SSH, systemd, nginx),DEV,8,ALTA,PENDIENTE,15,Semana 15,
DOC-04,Documentación,Deploy,Documentar backup/restore de BD (SQLite dev + PG prod),DBA,8,ALTA,PENDIENTE,15,Semana 15,
DEP-01,Deploy,Producción,Deploy a producción hotel.zx89.site (git pull + bun install + restart),DEV,8,CRITICA,PENDIENTE,16,Semana 16,
DEP-02,Deploy,Producción,Verificar login con usuarios demo en producción,QA,4,CRITICA,PENDIENTE,16,Semana 16,
DEP-03,Deploy,Producción,Verificar Stripe webhooks en producción,QA,4,CRITICA,PENDIENTE,16,Semana 16,
DEP-04,Deploy,Producción,Verificar Channex en producción (certificación completa),QA,8,ALTA,PENDIENTE,16,Semana 16,
DEP-05,Deploy,Producción,Configurar monitoreo (logs, alertas, health-checks),DEV,12,ALTA,PENDIENTE,16,Semana 16,
DEP-06,Deploy,Producción,Configurar backups automáticos BD (cron diario),DBA,4,CRITICA,PENDIENTE,16,Semana 16,
,,,,,,,,,,
=== MÓDULOS COMPLETADOS (18 MATURE) ===,,,,,,,,,
M01,reservas,MATURE,Sistema de reservas completo (30 archivos, 3 tests, 23 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M02,facturas,MATURE,Facturación completa (29 archivos, 5 tests, 12 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M03,empleados,MATURE,Empleados completo (24 archivos, 4 tests, 59 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M04,housekeeping,MATURE,Housekeeping completo (23 archivos, 5 tests, 24 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M05,reports,MATURE,Reportes completo (24 archivos, 4 tests, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M06,payroll,MATURE,Nómina completa (19 archivos, 5 tests, 17 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M07,folios,MATURE,Folios completo (19 archivos, 2 tests, 8 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M08,payments,MATURE,Pagos completo (16 archivos, 3 tests, 16 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M09,canales,MATURE,Channel Manager completo (17 archivos, 1 test, 18 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M10,crm,MATURE,CRM completo (15 archivos, 4 tests, 13 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M11,usuarios,MATURE,Usuarios completo (14 archivos, 4 tests, 15 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M12,mantenimiento,MATURE,Mantenimiento completo (14 archivos, 1 test, 12 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M13,cash,MATURE,Caja completo (13 archivos, 2 tests, 11 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M14,hoteles,MATURE,Hoteles completo (13 archivos, 2 tests, 10 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M15,bookingengine,MATURE,Booking Engine completo (14 archivos, 1 test, 13 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M16,attendance,MATURE,Asistencia completa (12 archivos, 3 tests, 18 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M17,messages,MATURE,Mensajería completa (11 archivos, 1 test, 9 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M18,ai-recepcionista,MATURE,AI Recepcionista completo (22 archivos, 1 test, 26 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
,,,,,,,,,,
=== MÓDULOS COMPLETADOS (23 DONE - Estructuralmente completos) ===,,,,,,,,,
M19,habitaciones,DONE,Habitaciones (8 archivos, 1 test, 6 rutas) — faltan usecases,—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M20,huespedes,DONE,Huéspedes (8 archivos, 1 test, 5 rutas) — faltan usecases,—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M21,admin,DONE,Admin (10 archivos, 1 test, 16 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M22,ttlock,DONE,TTLock (11 archivos, 2 tests, 8 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M23,roles,DONE,Roles (8 archivos, 1 test, 6 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M24,dashboard,DONE,Dashboard (10 archivos, 1 test, 3 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M25,staff-auth,DONE,Staff Auth (8 archivos, 1 test, 3 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M26,paquetes,DONE,Paquetes (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M27,gastos,DONE,Gastos (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M28,notificaciones,DONE,Notificaciones (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M29,opiniones,DONE,Opiniones (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M30,activos,DONE,Activos (8 archivos, 1 test, 7 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M31,capacitacion,DONE,Capacitación (10 archivos, 2 tests, 10 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M32,reclutamiento,DONE,Reclutamiento (8 archivos, 1 test, 9 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M33,reembolsos,DONE,Reembolsos (8 archivos, 1 test, 10 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M34,feedback,DONE,Feedback (8 archivos, 1 test, 6 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M35,amenities,DONE,Amenities (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M36,anuncios,DONE,Anuncios (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M37,apikeys,DONE,API Keys (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M38,pricing,DONE,Pricing (10 archivos, 1 test, 11 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M39,tickets,DONE,Tickets (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M40,grupos,DONE,Grupos (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
M41,dispositivos,DONE,Dispositivos (8 archivos, 1 test, 5 rutas),—,—,COMPLETADA,COMPLETADO,COMPLETADO,
,,,,,,,,,,
=== MÓDULOS PARCIALES (5) ===,,,,,,,,,
M42,payment-requests,PARTIAL,11 archivos/2 tests backend OK - Falta frontend página dedicada,FE1,16,ALTA,PENDIENTE,1,Semana 1,
M43,ai-gerente,PARTIAL,10 archivos/1 test backend OK - Falta frontend página + servicio,FE1+FE2,28,ALTA,PENDIENTE,1,Semana 1,
M44,marketing,PARTIAL,9 archivos/1 test backend OK - Falta frontend página + servicio,FE1+FE2,24,ALTA,PENDIENTE,1,Semana 1,
M45,auditlog,PARTIAL,8 archivos/1 test backend OK - Falta frontend service dedicado,FE2,4,ALTA,PENDIENTE,1,Semana 1,
M46,pushtokens,PARTIAL,10 archivos/2 tests backend OK - Falta frontend UI gestión,FE1,8,MEDIA,PENDIENTE,1,Semana 1,
